일자,자치구,총사용수(B),총사용수(S),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-08,중구,1690,251288,-6.2,-10.6,-1.8,0.0,0.0271,0.0106,0.5,0.0031,20.0,14.0
2024-01-08,중랑구,1840,62361,-4.0,-8.9,0.0,0.0,0.0255,0.0126,0.46,0.0022,20.0,13.0
2024-01-09,강남구,1014,418420,-0.4,-1.7,0.5,1.5,0.0397,0.0031,0.47,0.0029,28.0,19.0
2024-01-09,강동구,1566,96974,-1.2,-2.5,0.2,1.0,0.0423,0.003,0.54,0.0029,28.0,19.0
2024-01-09,강북구,452,45580,-1.4,-2.4,-0.1,2.0,0.0442,0.0017,0.67,0.0026,29.0,20.0
2024-01-09,강서구,5962,186604,0.3,-1.4,1.1,0.0,0.0449,0.0041,0.66,0.0035,25.0,15.0
2024-01-09,관악구,887,150110,-0.7,-2.5,0.5,0.5,0.0441,0.0036,0.64,0.0032,28.0,16.0
2024-01-09,광진구,1871,61680,-0.4,-1.9,0.4,0.0,0.0471,0.0038,0.45,0.0024,26.0,18.0
2024-01-09,구로구,1591,128992,-0.2,-1.8,1.2,0.5,0.0307,0.0038,0.58,0.0028,31.0,20.0
2024-01-09,금천구,827,104280,0.3,-1.0,1.3,1.5,0.0352,0.0092,0.49,0.0025,26.0,17.0
2024-01-09,노원구,1977,161904,-1.7,-3.4,-0.3,0.5,0.0402,0.0035,0.54,0.0029,31.0,22.0
2024-01-09,도봉구,695,89722,-1.2,-2.6,0.4,0.5,0.0432,0.0035,0.77,0.0026,29.0,22.0
2024-01-09,동대문구,1326,98810,-0.7,-2.5,0.7,0.5,0.0478,0.0026,0.66,0.0035,30.0,18.0
2024-01-09,동작구,623,90185,-0.3,-2.3,1.0,2.0,0.0401,0.0037,0.52,0.0025,28.0,19.0
2024-01-09,마포구,1638,256756,-0.4,-1.5,0.7,0.5,0.0423,0.0019,0.58,0.0026,22.0,17.0
2024-01-09,서대문구,782,92133,-1.2,-2.5,-0.2,0.5,0.0431,0.0034,0.84,0.0037,27.0,20.0
2024-01-09,서초구,969,147231,-0.2,-1.7,1.0,2.0,0.0354,0.0051,0.48,0.0029,28.0,19.0
2024-01-09,성동구,1509,124629,-0.2,-1.6,0.8,1.0,0.0394,0.0037,0.48,0.0025,28.0,17.0
2024-01-09,성북구,812,47411,-1.3,-2.6,0.0,1.5,0.0404,0.0023,0.76,0.0028,30.0,20.0
2024-01-09,송파구,2968,203571,-0.1,-1.4,1.1,0.0,0.0393,0.0046,0.5,0.0024,25.0,16.0
2024-01-09,양천구,2813,36833,0.3,-0.8,1.4,1.0,0.0442,0.0038,0.62,0.0031,28.0,18.0
2024-01-09,영등포구,3637,327135,0.3,-1.1,1.4,0.5,0.0422,0.0028,0.62,0.003,25.0,18.0
2024-01-09,용산구,559,0,-0.2,-1.5,0.6,1.5,0.0414,0.0029,0.55,0.0025,24.0,15.0
2024-01-09,은평구,873,120809,-1.4,-3.7,0.4,1.5,0.0414,0.0045,1.08,0.0032,30.0,19.0
