일자,자치구,총사용수(B),총사용수(S)
2024-01-16,성북구,1767,47284
2024-01-16,송파구,6756,196755
2024-01-16,양천구,5043,36661
2024-01-16,영등포구,7232,324929
2024-01-16,용산구,1379,0
2024-01-16,은평구,1755,122807
2024-01-16,종로구,3079,238583
2024-01-16,중구,2109,261593
2024-01-16,중랑구,2208,89012
2024-01-17,강남구,1111,419504
2024-01-17,강동구,1524,96056
2024-01-17,강북구,435,45457
2024-01-17,강서구,5334,186334
2024-01-17,관악구,798,153534
2024-01-17,광진구,1818,62102
2024-01-17,구로구,1542,128374
2024-01-17,금천구,826,102606
2024-01-17,노원구,1940,162856
2024-01-17,도봉구,707,91026
2024-01-17,동대문구,1277,102423
2024-01-17,동작구,649,90811
2024-01-17,마포구,1479,262182
2024-01-17,서대문구,790,92470
2024-01-17,서초구,961,148839
2024-01-17,성동구,1431,121518
2024-01-17,성북구,840,47569
2024-01-17,송파구,3084,199792
2024-01-17,양천구,2327,36025
2024-01-17,영등포구,3275,330425
2024-01-17,용산구,614,0
2024-01-17,은평구,856,121758
2024-01-17,종로구,1459,247617
2024-01-17,중구,943,269372
2024-01-17,중랑구,983,88747
2024-01-18,강남구,2391,418061
2024-01-18,강동구,2990,96732
2024-01-18,강북구,957,46641
2024-01-18,강서구,10171,189124
2024-01-18,관악구,1647,156900
2024-01-18,광진구,3549,63400
2024-01-18,구로구,3140,130664
2024-01-18,금천구,1682,103327
2024-01-18,노원구,3975,163796
2024-01-18,도봉구,1527,92370
2024-01-18,동대문구,2504,104512
2024-01-18,동작구,1323,92737
2024-01-18,마포구,3477,266040
2024-01-18,서대문구,1355,92541
2024-01-18,서초구,2149,149178
2024-01-18,성동구,3127,122706
2024-01-18,성북구,1671,48340
2024-01-18,송파구,6584,201658
2024-01-18,양천구,4841,36927
2024-01-18,영등포구,7134,332370
2024-01-18,용산구,1461,0
2024-01-18,은평구,1739,123947
2024-01-18,종로구,3159,248113
2024-01-18,중구,2232,266273
2024-01-18,중랑구,2078,90307
2024-01-19,강남구,3148,423334
2024-01-19,강동구,3818,98106
2024-01-19,강북구,1193,48409
2024-01-19,강서구,12012,193018
2024-01-19,관악구,2057,165728
2024-01-19,광진구,4205,66669
2024-01-19,구로구,3776,132852
2024-01-19,금천구,1796,102872
2024-01-19,노원구,4897,169206
2024-01-19,도봉구,1935,97062
2024-01-19,동대문구,2869,108136
2024-01-19,동작구,1565,97732
2024-01-19,마포구,4077,278352
2024-01-19,서대문구,1649,95210
2024-01-19,서초구,2637,160615
2024-01-19,성동구,3458,126083
2024-01-19,성북구,1996,49302
2024-01-19,송파구,8087,209673
2024-01-19,양천구,5829,37410
2024-01-19,영등포구,8294,341143
2024-01-19,용산구,1612,0
2024-01-19,은평구,2059,127589
2024-01-19,종로구,3467,256136
2024-01-19,중구,2555,272411
2024-01-19,중랑구,2590,92887
2024-01-20,강남구,1188,242404
2024-01-20,강동구,2017,66809
2024-01-20,강북구,705,38354
2024-01-20,강서구,5245,130443
2024-01-20,관악구,1073,131719
2024-01-20,광진구,1992,56575
2024-01-20,구로구,1597,86210
2024-01-20,금천구,566,39490
2024-01-20,노원구,2872,125377
2024-01-20,도봉구,1023,72002
2024-01-20,동대문구,1438,78253
2024-01-20,동작구,772,73505
2024-01-20,마포구,1719,226328
2024-01-20,서대문구,863,75191
2024-01-20,서초구,1028,130066
2024-01-20,성동구,1371,81779
2024-01-20,성북구,1163,34700
2024-01-20,송파구,3737,133525
2024-01-20,양천구,3173,24664
2024-01-20,영등포구,3284,221245
2024-01-20,용산구,688,0
2024-01-20,은평구,1200,93202
2024-01-20,종로구,1248,193011
2024-01-20,중구,796,164044
2024-01-20,중랑구,1480,68557
2024-01-21,강남구,1170,141832
2024-01-21,강동구,1617,46052
2024-01-21,강북구,718,28249
2024-01-21,강서구,4371,97032
2024-01-21,관악구,985,91368
2024-01-21,광진구,1854,42140
2024-01-21,구로구,1428,62505
2024-01-21,금천구,491,27297
2024-01-21,노원구,2818,91447
2024-01-21,도봉구,976,54939
2024-01-21,동대문구,1269,58858
2024-01-21,동작구,710,49823
2024-01-21,마포구,1603,166887
2024-01-21,서대문구,744,52945
2024-01-21,서초구,1004,102436
2024-01-21,성동구,1247,56876
2024-01-21,성북구,1015,26253
2024-01-21,송파구,3330,90484
2024-01-21,양천구,2554,17085
2024-01-21,영등포구,2910,157266
2024-01-21,용산구,643,0
2024-01-21,은평구,1016,66914
2024-01-21,종로구,1113,126410
2024-01-21,중구,662,118594
2024-01-21,중랑구,1328,49138
2024-01-22,강남구,1494,393290
2024-01-22,강동구,2039,91928
2024-01-22,강북구,619,43371
2024-01-22,강서구,7566,178071
2024-01-22,관악구,1010,142320
2024-01-22,광진구,2398,58918
2024-01-22,구로구,1952,122055
2024-01-22,금천구,1008,99877
2024-01-22,노원구,2703,154248
2024-01-22,도봉구,922,85310
2024-01-22,동대문구,1410,95471
2024-01-22,동작구,738,85412
2024-01-22,마포구,1969,243047
2024-01-22,서대문구,828,85463
2024-01-22,서초구,1359,139246
2024-01-22,성동구,1882,113018
2024-01-22,성북구,1024,45204
2024-01-22,송파구,4464,188793
2024-01-22,양천구,3108,34369
2024-01-22,영등포구,4517,310728
2024-01-22,용산구,749,0
2024-01-22,은평구,1034,116108
2024-01-22,종로구,1686,222472
2024-01-22,중구,1213,248966
2024-01-22,중랑구,1359,84319
2024-01-23,강남구,1346,392819
2024-01-23,강동구,1881,88248
2024-01-23,강북구,566,42022
2024-01-23,강서구,6481,168704
2024-01-23,관악구,976,141975
2024-01-23,광진구,2135,57140
2024-01-23,구로구,1879,119308
2024-01-23,금천구,934,97479
2024-01-23,노원구,2387,148058
2024-01-23,도봉구,817,81828
2024-01-23,동대문구,1376,91324
2024-01-23,동작구,680,83181
2024-01-23,마포구,1774,237540
2024-01-23,서대문구,764,83134
2024-01-23,서초구,1233,133987
2024-01-23,성동구,1731,110858
2024-01-23,성북구,910,43703
2024-01-23,송파구,3953,183130
2024-01-23,양천구,2727,33713
2024-01-23,영등포구,3954,305813
2024-01-23,용산구,637,0
2024-01-23,은평구,968,112207
2024-01-23,종로구,1720,217643
2024-01-23,중구,1111,248163
2024-01-23,중랑구,1209,81920
2024-01-24,강남구,1543,399175
2024-01-24,강동구,2121,91849
2024-01-24,강북구,665,44315
2024-01-24,강서구,7498,181270
2024-01-24,관악구,1066,147255
2024-01-24,광진구,2520,60412
2024-01-24,구로구,2057,123203
2024-01-24,금천구,1101,99338
2024-01-24,노원구,2889,154428
2024-01-24,도봉구,988,85699
2024-01-24,동대문구,1602,96189
2024-01-24,동작구,816,86099
2024-01-24,마포구,2139,247047
2024-01-24,서대문구,872,86456
2024-01-24,서초구,1414,141156
2024-01-24,성동구,2017,116004
2024-01-24,성북구,1111,45656
2024-01-24,송파구,4547,189983
2024-01-24,양천구,3119,34376
2024-01-24,영등포구,4594,316671
2024-01-24,용산구,819,0
2024-01-24,은평구,1193,117266
2024-01-24,종로구,2005,228891
2024-01-24,중구,1320,255950
2024-01-24,중랑구,1452,84973
2024-01-25,강남구,1984,409951
2024-01-25,강동구,2539,94479
2024-01-25,강북구,792,46426
2024-01-25,강서구,8950,185414
2024-01-25,관악구,1274,152541
2024-01-25,광진구,2856,62439
2024-01-25,구로구,2573,126229
2024-01-25,금천구,1261,101133
2024-01-25,노원구,3573,159859
2024-01-25,도봉구,1311,89583
2024-01-25,동대문구,2017,101402
2024-01-25,동작구,1051,89331
2024-01-25,마포구,2658,259492
2024-01-25,서대문구,1141,89542
2024-01-25,서초구,1765,146147
2024-01-25,성동구,2419,119475
2024-01-25,성북구,1380,47299
2024-01-25,송파구,5540,194733
2024-01-25,양천구,3781,35854
2024-01-25,영등포구,5639,326084
2024-01-25,용산구,1042,0
2024-01-25,은평구,1523,122099
2024-01-25,종로구,2508,240775
2024-01-25,중구,1769,264186
2024-01-25,중랑구,1715,88312
2024-01-26,강남구,2509,419327
2024-01-26,강동구,3142,97391
2024-01-26,강북구,969,47783
2024-01-26,강서구,10353,190196
2024-01-26,관악구,1584,163337
2024-01-26,광진구,3517,65848
2024-01-26,구로구,3015,130567
2024-01-26,금천구,1506,101960
2024-01-26,노원구,4191,168231
2024-01-26,도봉구,1463,95141
2024-01-26,동대문구,2366,107431
2024-01-26,동작구,1355,95913
2024-01-26,마포구,3276,276076
2024-01-26,서대문구,1373,93845
2024-01-26,서초구,2156,159694
2024-01-26,성동구,2888,123688
2024-01-26,성북구,1622,48750
2024-01-26,송파구,6817,202451
2024-01-26,양천구,4691,37187
2024-01-26,영등포구,6960,340155
2024-01-26,용산구,1353,0
2024-01-26,은평구,1729,126390
2024-01-26,종로구,2908,249579
2024-01-26,중구,1975,270050
2024-01-26,중랑구,2129,92427
2024-01-27,강남구,1651,240276
2024-01-27,강동구,2633,65031
2024-01-27,강북구,860,38247
2024-01-27,강서구,6845,132259
2024-01-27,관악구,1590,129615
2024-01-27,광진구,2831,56446
2024-01-27,구로구,2297,86292
2024-01-27,금천구,808,40033
2024-01-27,노원구,3806,126127
2024-01-27,도봉구,1447,73374
2024-01-27,동대문구,1878,81384
2024-01-27,동작구,1138,72313
2024-01-27,마포구,2557,227026
2024-01-27,서대문구,1140,75003
2024-01-27,서초구,1632,129335
2024-01-27,성동구,1884,81417
2024-01-27,성북구,1502,34453
2024-01-27,송파구,5484,137231
2024-01-27,양천구,4148,24931
2024-01-27,영등포구,4715,221909
2024-01-27,용산구,1122,0
2024-01-27,은평구,1597,93957
2024-01-27,종로구,1803,190179
2024-01-27,중구,1240,169067
2024-01-27,중랑구,1809,69035
2024-01-28,강남구,1381,140990
2024-01-28,강동구,2320,46107
2024-01-28,강북구,802,28195
2024-01-28,강서구,5520,97073
2024-01-28,관악구,1294,92458
2024-01-28,광진구,2339,41038
2024-01-28,구로구,1964,61708
2024-01-28,금천구,668,27882
2024-01-28,노원구,3160,92084
2024-01-28,도봉구,1139,56510
2024-01-28,동대문구,1637,60451
2024-01-28,동작구,937,49949
2024-01-28,마포구,2194,170536
2024-01-28,서대문구,1080,53859
2024-01-28,서초구,1308,102991
2024-01-28,성동구,1672,59252
2024-01-28,성북구,1267,26689
2024-01-28,송파구,4847,96176
2024-01-28,양천구,3406,17219
2024-01-28,영등포구,3916,158372
2024-01-28,용산구,1009,0
2024-01-28,은평구,1285,68221
2024-01-28,종로구,1420,128909
2024-01-28,중구,921,123826
2024-01-28,중랑구,1544,49066
2024-01-29,강남구,2409,399904
2024-01-29,강동구,3335,94065
2024-01-29,강북구,989,46036
2024-01-29,강서구,10816,184555
2024-01-29,관악구,1668,147230
2024-01-29,광진구,3661,60423
2024-01-29,구로구,3340,127051
2024-01-29,금천구,1628,102475
2024-01-29,노원구,4351,159515
2024-01-29,도봉구,1508,90513
2024-01-29,동대문구,2627,101693
2024-01-29,동작구,1279,88359
2024-01-29,마포구,3446,251133
2024-01-29,서대문구,1448,87545
2024-01-29,서초구,2229,143867
2024-01-29,성동구,3150,117625
2024-01-29,성북구,1714,46555
2024-01-29,송파구,7016,192901
2024-01-29,양천구,4966,35662
2024-01-29,영등포구,7262,319624
2024-01-29,용산구,1318,0
2024-01-29,은평구,1890,120931
2024-01-29,종로구,3148,231199
2024-01-29,중구,2165,256388
2024-01-29,중랑구,2207,87891
2024-01-30,강남구,2896,414361
2024-01-30,강동구,3501,95688
2024-01-30,강북구,1150,47634
2024-01-30,강서구,11820,188151
2024-01-30,관악구,1769,152950
2024-01-30,광진구,3926,61165
2024-01-30,구로구,3518,129661
2024-01-30,금천구,1806,103751
2024-01-30,노원구,4823,162465
2024-01-30,도봉구,1718,93402
2024-01-30,동대문구,2773,103927
2024-01-30,동작구,1454,90873
2024-01-30,마포구,3802,257990
2024-01-30,서대문구,1691,89823
2024-01-30,서초구,2479,146284
2024-01-30,성동구,3469,121344
2024-01-30,성북구,1940,47513
2024-01-30,송파구,7672,199828
2024-01-30,양천구,5452,36605
2024-01-30,영등포구,7945,328744
2024-01-30,용산구,1644,0
2024-01-30,은평구,1985,124659
2024-01-30,종로구,3446,242247
2024-01-30,중구,2411,265213
2024-01-30,중랑구,2421,90139
2024-01-31,강남구,3010,414729
2024-01-31,강동구,4004,96256
2024-01-31,강북구,1136,47802
2024-01-31,강서구,12445,189055
2024-01-31,관악구,2007,153684
2024-01-31,광진구,4214,62498
2024-01-31,구로구,3706,130307
2024-01-31,금천구,1841,103293
2024-01-31,노원구,5196,164685
2024-01-31,도봉구,1923,93559
2024-01-31,동대문구,3010,104793
2024-01-31,동작구,1668,91216
2024-01-31,마포구,4146,259310
2024-01-31,서대문구,1693,90587
2024-01-31,서초구,2743,145964
2024-01-31,성동구,3638,121632
2024-01-31,성북구,1971,47908
2024-01-31,송파구,8469,200270
2024-01-31,양천구,5662,36686
2024-01-31,영등포구,8511,330328
2024-01-31,용산구,1758,0
2024-01-31,은평구,2110,124552
2024-01-31,종로구,3737,245040
2024-01-31,중구,2583,268699
2024-01-31,중랑구,2585,90186
2024-02-01,강남구,2928,421121
2024-02-01,강동구,3870,96783
2024-02-01,강북구,1178,47236
2024-02-01,강서구,12243,189906
2024-02-01,관악구,1914,154930
2024-02-01,광진구,4241,62390
2024-02-01,구로구,3879,130564
2024-02-01,금천구,1852,102998
2024-02-01,노원구,5199,163578
2024-02-01,도봉구,1907,92852
2024-02-01,동대문구,3041,105522
2024-02-01,동작구,1605,91077
2024-02-01,마포구,3956,264588
2024-02-01,서대문구,1676,90990
2024-02-01,서초구,2634,146870
2024-02-01,성동구,3622,123033
2024-02-01,성북구,2019,48199
2024-02-01,송파구,8182,201063
2024-02-01,양천구,5789,36730
2024-02-01,영등포구,8090,329463
2024-02-01,용산구,1591,0
2024-02-01,은평구,2143,124595
2024-02-01,종로구,3776,243700
2024-02-01,중구,2473,266490
2024-02-01,중랑구,2514,89898
2024-02-02,강남구,3128,427310
