일자,자치구,총사용수,type
2024-01-26,노원구,4191,Bike
2024-01-26,도봉구,1463,Bike
2024-01-26,동대문구,2366,Bike
2024-01-26,동작구,1355,Bike
2024-01-26,마포구,3276,Bike
2024-01-26,서대문구,1373,Bike
2024-01-26,서초구,2156,Bike
2024-01-26,성동구,2888,Bike
2024-01-26,성북구,1622,Bike
2024-01-26,송파구,6817,Bike
2024-01-26,양천구,4691,Bike
2024-01-26,영등포구,6960,Bike
2024-01-26,용산구,1353,Bike
2024-01-26,은평구,1729,Bike
2024-01-26,종로구,2908,Bike
2024-01-26,중구,1975,Bike
2024-01-26,중랑구,2129,Bike
2024-01-27,강남구,1651,Bike
2024-01-27,강동구,2633,Bike
2024-01-27,강북구,860,Bike
2024-01-27,강서구,6845,Bike
2024-01-27,관악구,1590,Bike
2024-01-27,광진구,2831,Bike
2024-01-27,구로구,2297,Bike
2024-01-27,금천구,808,Bike
2024-01-27,노원구,3806,Bike
2024-01-27,도봉구,1447,Bike
2024-01-27,동대문구,1878,Bike
2024-01-27,동작구,1138,Bike
2024-01-27,마포구,2557,Bike
2024-01-27,서대문구,1140,Bike
2024-01-27,서초구,1632,Bike
2024-01-27,성동구,1884,Bike
2024-01-27,성북구,1502,Bike
2024-01-27,송파구,5484,Bike
2024-01-27,양천구,4148,Bike
2024-01-27,영등포구,4715,Bike
2024-01-27,용산구,1122,Bike
2024-01-27,은평구,1597,Bike
2024-01-27,종로구,1803,Bike
2024-01-27,중구,1240,Bike
2024-01-27,중랑구,1809,Bike
2024-01-28,강남구,1381,Bike
2024-01-28,강동구,2320,Bike
2024-01-28,강북구,802,Bike
2024-01-28,강서구,5520,Bike
2024-01-28,관악구,1294,Bike
2024-01-28,광진구,2339,Bike
2024-01-28,구로구,1964,Bike
2024-01-28,금천구,668,Bike
2024-01-28,노원구,3160,Bike
2024-01-28,도봉구,1139,Bike
2024-01-28,동대문구,1637,Bike
2024-01-28,동작구,937,Bike
2024-01-28,마포구,2194,Bike
2024-01-28,서대문구,1080,Bike
2024-01-28,서초구,1308,Bike
2024-01-28,성동구,1672,Bike
2024-01-28,성북구,1267,Bike
2024-01-28,송파구,4847,Bike
2024-01-28,양천구,3406,Bike
2024-01-28,영등포구,3916,Bike
2024-01-28,용산구,1009,Bike
2024-01-28,은평구,1285,Bike
2024-01-28,종로구,1420,Bike
2024-01-28,중구,921,Bike
2024-01-28,중랑구,1544,Bike
2024-01-29,강남구,2409,Bike
2024-01-29,강동구,3335,Bike
2024-01-29,강북구,989,Bike
2024-01-29,강서구,10816,Bike
2024-01-29,관악구,1668,Bike
2024-01-29,광진구,3661,Bike
2024-01-29,구로구,3340,Bike
2024-01-29,금천구,1628,Bike
2024-01-29,노원구,4351,Bike
2024-01-29,도봉구,1508,Bike
2024-01-29,동대문구,2627,Bike
2024-01-29,동작구,1279,Bike
2024-01-29,마포구,3446,Bike
2024-01-29,서대문구,1448,Bike
2024-01-29,서초구,2229,Bike
2024-01-29,성동구,3150,Bike
2024-01-29,성북구,1714,Bike
2024-01-29,송파구,7016,Bike
2024-01-29,양천구,4966,Bike
2024-01-29,영등포구,7262,Bike
2024-01-29,용산구,1318,Bike
2024-01-29,은평구,1890,Bike
2024-01-29,종로구,3148,Bike
2024-01-29,중구,2165,Bike
2024-01-29,중랑구,2207,Bike
2024-01-30,강남구,2896,Bike
2024-01-30,강동구,3501,Bike
2024-01-30,강북구,1150,Bike
2024-01-30,강서구,11820,Bike
2024-01-30,관악구,1769,Bike
2024-01-30,광진구,3926,Bike
2024-01-30,구로구,3518,Bike
2024-01-30,금천구,1806,Bike
2024-01-30,노원구,4823,Bike
2024-01-30,도봉구,1718,Bike
2024-01-30,동대문구,2773,Bike
2024-01-30,동작구,1454,Bike
2024-01-30,마포구,3802,Bike
2024-01-30,서대문구,1691,Bike
2024-01-30,서초구,2479,Bike
2024-01-30,성동구,3469,Bike
2024-01-30,성북구,1940,Bike
2024-01-30,송파구,7672,Bike
2024-01-30,양천구,5452,Bike
2024-01-30,영등포구,7945,Bike
2024-01-30,용산구,1644,Bike
2024-01-30,은평구,1985,Bike
2024-01-30,종로구,3446,Bike
2024-01-30,중구,2411,Bike
2024-01-30,중랑구,2421,Bike
2024-01-31,강남구,3010,Bike
2024-01-31,강동구,4004,Bike
2024-01-31,강북구,1136,Bike
2024-01-31,강서구,12445,Bike
2024-01-31,관악구,2007,Bike
2024-01-31,광진구,4214,Bike
2024-01-31,구로구,3706,Bike
2024-01-31,금천구,1841,Bike
2024-01-31,노원구,5196,Bike
2024-01-31,도봉구,1923,Bike
2024-01-31,동대문구,3010,Bike
2024-01-31,동작구,1668,Bike
2024-01-31,마포구,4146,Bike
2024-01-31,서대문구,1693,Bike
