대여일시,자치구,총사용수
2024-01-28,광진구,2339
2024-01-28,구로구,1964
2024-01-28,금천구,668
2024-01-28,노원구,3160
2024-01-28,도봉구,1139
2024-01-28,동대문구,1637
2024-01-28,동작구,937
2024-01-28,마포구,2194
2024-01-28,서대문구,1080
2024-01-28,서초구,1308
2024-01-28,성동구,1672
2024-01-28,성북구,1267
2024-01-28,송파구,4847
2024-01-28,양천구,3406
2024-01-28,영등포구,3916
2024-01-28,용산구,1009
2024-01-28,은평구,1285
2024-01-28,종로구,1420
2024-01-28,중구,921
2024-01-28,중랑구,1544
2024-01-29,강남구,2409
2024-01-29,강동구,3335
2024-01-29,강북구,989
2024-01-29,강서구,10816
2024-01-29,관악구,1668
2024-01-29,광진구,3661
2024-01-29,구로구,3340
2024-01-29,금천구,1628
2024-01-29,노원구,4351
2024-01-29,도봉구,1508
2024-01-29,동대문구,2627
2024-01-29,동작구,1279
2024-01-29,마포구,3446
2024-01-29,서대문구,1448
2024-01-29,서초구,2229
2024-01-29,성동구,3150
2024-01-29,성북구,1714
2024-01-29,송파구,7016
2024-01-29,양천구,4966
2024-01-29,영등포구,7262
2024-01-29,용산구,1318
2024-01-29,은평구,1890
2024-01-29,종로구,3148
2024-01-29,중구,2165
2024-01-29,중랑구,2207
2024-01-30,강남구,2896
2024-01-30,강동구,3501
2024-01-30,강북구,1150
2024-01-30,강서구,11820
2024-01-30,관악구,1769
2024-01-30,광진구,3926
2024-01-30,구로구,3518
2024-01-30,금천구,1806
2024-01-30,노원구,4823
2024-01-30,도봉구,1718
2024-01-30,동대문구,2773
2024-01-30,동작구,1454
2024-01-30,마포구,3802
2024-01-30,서대문구,1691
2024-01-30,서초구,2479
2024-01-30,성동구,3469
2024-01-30,성북구,1940
2024-01-30,송파구,7672
2024-01-30,양천구,5452
2024-01-30,영등포구,7945
2024-01-30,용산구,1644
2024-01-30,은평구,1985
2024-01-30,종로구,3446
2024-01-30,중구,2411
2024-01-30,중랑구,2421
2024-01-31,강남구,3010
2024-01-31,강동구,4004
2024-01-31,강북구,1136
2024-01-31,강서구,12445
2024-01-31,관악구,2007
2024-01-31,광진구,4214
2024-01-31,구로구,3706
2024-01-31,금천구,1841
2024-01-31,노원구,5196
2024-01-31,도봉구,1923
2024-01-31,동대문구,3010
2024-01-31,동작구,1668
2024-01-31,마포구,4146
2024-01-31,서대문구,1693
2024-01-31,서초구,2743
2024-01-31,성동구,3638
2024-01-31,성북구,1971
2024-01-31,송파구,8469
2024-01-31,양천구,5662
2024-01-31,영등포구,8511
2024-01-31,용산구,1758
2024-01-31,은평구,2110
2024-01-31,종로구,3737
2024-01-31,중구,2583
2024-01-31,중랑구,2585
2024-02-01,강남구,2928
2024-02-01,강동구,3870
2024-02-01,강북구,1178
2024-02-01,강서구,12243
2024-02-01,관악구,1914
2024-02-01,광진구,4241
2024-02-01,구로구,3879
2024-02-01,금천구,1852
2024-02-01,노원구,5199
2024-02-01,도봉구,1907
2024-02-01,동대문구,3041
2024-02-01,동작구,1605
2024-02-01,마포구,3956
2024-02-01,서대문구,1676
2024-02-01,서초구,2634
2024-02-01,성동구,3622
2024-02-01,성북구,2019
2024-02-01,송파구,8182
2024-02-01,양천구,5789
2024-02-01,영등포구,8090
2024-02-01,용산구,1591
2024-02-01,은평구,2143
2024-02-01,종로구,3776
2024-02-01,중구,2473
2024-02-01,중랑구,2514
2024-02-02,강남구,3128
2024-02-02,강동구,4041
2024-02-02,강북구,1232
2024-02-02,강서구,12651
2024-02-02,관악구,1974
2024-02-02,광진구,4337
2024-02-02,구로구,3904
2024-02-02,금천구,1884
2024-02-02,노원구,5556
2024-02-02,도봉구,2018
2024-02-02,동대문구,3154
2024-02-02,동작구,1647
2024-02-02,마포구,4110
2024-02-02,서대문구,1770
2024-02-02,서초구,2560
2024-02-02,성동구,3629
2024-02-02,성북구,2111
2024-02-02,송파구,8770
2024-02-02,양천구,6058
2024-02-02,영등포구,8291
2024-02-02,용산구,1701
2024-02-02,은평구,2336
2024-02-02,종로구,3707
2024-02-02,중구,2436
2024-02-02,중랑구,2693
2024-02-03,강남구,1855
2024-02-03,강동구,2931
2024-02-03,강북구,1149
2024-02-03,강서구,7987
2024-02-03,관악구,1751
2024-02-03,광진구,3111
2024-02-03,구로구,2714
2024-02-03,금천구,832
2024-02-03,노원구,4703
2024-02-03,도봉구,1792
2024-02-03,동대문구,2271
2024-02-03,동작구,1352
2024-02-03,마포구,3203
2024-02-03,서대문구,1458
2024-02-03,서초구,1754
2024-02-03,성동구,2386
2024-02-03,성북구,1707
2024-02-03,송파구,6323
2024-02-03,양천구,4682
2024-02-03,영등포구,5569
2024-02-03,용산구,1323
2024-02-03,은평구,1919
2024-02-03,종로구,2159
2024-02-03,중구,1397
2024-02-03,중랑구,2097
2024-02-04,강남구,2154
2024-02-04,강동구,3524
2024-02-04,강북구,1190
2024-02-04,강서구,7758
2024-02-04,관악구,1936
2024-02-04,광진구,3535
2024-02-04,구로구,2942
2024-02-04,금천구,978
2024-02-04,노원구,4706
2024-02-04,도봉구,1825
2024-02-04,동대문구,2440
2024-02-04,동작구,1563
2024-02-04,마포구,3846
2024-02-04,서대문구,1598
2024-02-04,서초구,1938
2024-02-04,성동구,2749
2024-02-04,성북구,1933
2024-02-04,송파구,7119
2024-02-04,양천구,4555
2024-02-04,영등포구,6099
2024-02-04,용산구,1756
2024-02-04,은평구,1981
2024-02-04,종로구,2175
2024-02-04,중구,1398
2024-02-04,중랑구,2198
2024-02-05,강남구,678
2024-02-05,강동구,1242
2024-02-05,강북구,538
2024-02-05,강서구,3328
2024-02-05,관악구,498
2024-02-05,광진구,1403
2024-02-05,구로구,964
2024-02-05,금천구,387
2024-02-05,노원구,2521
2024-02-05,도봉구,848
2024-02-05,동대문구,1261
2024-02-05,동작구,370
2024-02-05,마포구,1058
2024-02-05,서대문구,513
2024-02-05,서초구,603
2024-02-05,성동구,1234
2024-02-05,성북구,921
2024-02-05,송파구,2134
2024-02-05,양천구,1703
2024-02-05,영등포구,2138
2024-02-05,용산구,419
2024-02-05,은평구,561
2024-02-05,종로구,1280
2024-02-05,중구,798
2024-02-05,중랑구,1106
2024-02-06,강남구,2386
2024-02-06,강동구,3408
2024-02-06,강북구,1048
2024-02-06,강서구,10397
2024-02-06,관악구,1625
2024-02-06,광진구,3332
2024-02-06,구로구,3189
2024-02-06,금천구,1585
2024-02-06,노원구,4234
2024-02-06,도봉구,1546
2024-02-06,동대문구,2495
2024-02-06,동작구,1294
2024-02-06,마포구,3247
2024-02-06,서대문구,1356
2024-02-06,서초구,2119
2024-02-06,성동구,3048
2024-02-06,성북구,1668
2024-02-06,송파구,6469
2024-02-06,양천구,4850
2024-02-06,영등포구,6930
2024-02-06,용산구,1338
2024-02-06,은평구,1736
2024-02-06,종로구,2894
2024-02-06,중구,2096
2024-02-06,중랑구,2082
2024-02-07,강남구,2608
2024-02-07,강동구,3641
2024-02-07,강북구,1097
2024-02-07,강서구,11473
2024-02-07,관악구,1671
2024-02-07,광진구,3857
2024-02-07,구로구,3411
2024-02-07,금천구,1716
2024-02-07,노원구,4898
2024-02-07,도봉구,1732
2024-02-07,동대문구,2776
2024-02-07,동작구,1526
2024-02-07,마포구,3615
2024-02-07,서대문구,1512
2024-02-07,서초구,2396
2024-02-07,성동구,3222
2024-02-07,성북구,1807
2024-02-07,송파구,7306
2024-02-07,양천구,5417
2024-02-07,영등포구,7496
2024-02-07,용산구,1450
2024-02-07,은평구,2009
2024-02-07,종로구,3026
2024-02-07,중구,2273
2024-02-07,중랑구,2463
2024-02-08,강남구,2701
2024-02-08,강동구,3773
2024-02-08,강북구,1261
2024-02-08,강서구,11474
2024-02-08,관악구,1871
2024-02-08,광진구,4101
