사용일자,자치구,승차총승객수
20240129,은평구,120931
20240129,종로구,231199
20240129,중구,256388
20240129,중랑구,87891
20240130,강남구,414361
20240130,강동구,95688
20240130,강북구,47634
20240130,강서구,188151
20240130,관악구,152950
20240130,광진구,61165
20240130,구로구,129661
20240130,금천구,103751
20240130,노원구,162465
20240130,도봉구,93402
20240130,동대문구,103927
20240130,동작구,90873
20240130,마포구,257990
20240130,서대문구,89823
20240130,서초구,146284
20240130,성동구,121344
20240130,성북구,47513
20240130,송파구,199828
20240130,양천구,36605
20240130,영등포구,328744
20240130,은평구,124659
20240130,종로구,242247
20240130,중구,265213
20240130,중랑구,90139
20240131,강남구,414729
20240131,강동구,96256
20240131,강북구,47802
20240131,강서구,189055
20240131,관악구,153684
20240131,광진구,62498
20240131,구로구,130307
20240131,금천구,103293
20240131,노원구,164685
20240131,도봉구,93559
20240131,동대문구,104793
20240131,동작구,91216
20240131,마포구,259310
20240131,서대문구,90587
20240131,서초구,145964
20240131,성동구,121632
20240131,성북구,47908
20240131,송파구,200270
20240131,양천구,36686
20240131,영등포구,330328
20240131,은평구,124552
20240131,종로구,245040
20240131,중구,268699
20240131,중랑구,90186
20240201,강남구,421121
20240201,강동구,96783
20240201,강북구,47236
20240201,강서구,189906
20240201,관악구,154930
20240201,광진구,62390
20240201,구로구,130564
20240201,금천구,102998
20240201,노원구,163578
20240201,도봉구,92852
20240201,동대문구,105522
20240201,동작구,91077
20240201,마포구,264588
20240201,서대문구,90990
20240201,서초구,146870
20240201,성동구,123033
20240201,성북구,48199
20240201,송파구,201063
20240201,양천구,36730
20240201,영등포구,329463
20240201,은평구,124595
20240201,종로구,243700
20240201,중구,266490
20240201,중랑구,89898
20240202,강남구,427310
20240202,강동구,99659
20240202,강북구,49158
20240202,강서구,193862
20240202,관악구,161416
20240202,광진구,65290
20240202,구로구,132947
20240202,금천구,102831
20240202,노원구,169098
20240202,도봉구,96073
20240202,동대문구,108773
20240202,동작구,95636
20240202,마포구,274839
20240202,서대문구,95636
20240202,서초구,156932
